id	category	name	provided_by	knowledge_source
CHEMBL.TARGET:CHEMBL1201585	biolink:MolecularEntity	Trastuzumab	ERBB2_direct_kp-molecular.json	
CHEMBL.TARGET:CHEMBL1743082	biolink:MolecularEntity	Trastuzumab emtansine	ERBB2_direct_kp-molecular.json	
CHEMBL.TARGET:CHEMBL2007641	biolink:MolecularEntity	Pertuzumab	ERBB2_direct_kp-molecular.json	
DrugBank:DB04988	biolink:MolecularEntity	IGN311	ERBB2_direct_kp-molecular.json	
NCBIGene:2064	biolink:Gene	ERBB2	ERBB2_direct_ara-explanatory.json	
PUBCHEM.COMPOUND:10075664	biolink:SmallMolecule	6-[5-[(2-Methylsulfonylethylamino)methyl]furan-2-yl]-N-(4-phenylmethoxyphenyl)pyrido[3,4-d]pyrimidin-4-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10127622	biolink:SmallMolecule	Selumetinib	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:10151881	biolink:SmallMolecule	[5-(4-Amino-piperidin-1-ylmethyl)-pyrrolo[2,1-f][1,2,4]triazin-4-yl]-[1-(3-fluoro-benzyl)-1H-indazol-5-yl]-amine	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10168	biolink:SmallMolecule	Rhein	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:10184653	biolink:NamedThing|biolink:ChemicalEntity|biolink:MolecularEntity|biolink:SmallMolecule	Afatinib	ERBB2_direct_ara-explanatory.json	
PUBCHEM.COMPOUND:10331844	biolink:SmallMolecule	napabucasin	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10435235	biolink:SmallMolecule	LY-411575	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10437018	biolink:SmallMolecule	(S)-Morpholin-3-ylmethyl (4-((1-(3-fluorobenzyl)-1H-indazol-5-yl)amino)-5-methylpyrrolo[2,1-f][1,2,4]triazin-6-yl)carbamate	ERBB2_direct_kp-textmining.json	
PUBCHEM.COMPOUND:10458325	biolink:SmallMolecule	TESEVATINIB	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:104741	biolink:NamedThing|biolink:ChemicalEntity|biolink:MolecularEntity|biolink:SmallMolecule	Fulvestrant	ERBB2_direct_ara-explanatory.json	
PUBCHEM.COMPOUND:104895	biolink:SmallMolecule	CP-55940	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10528818	biolink:SmallMolecule	N-[4-(3-Chloro-4-fluoro-phenylamino)-7-(4-morpholin-4-yl-but-1-enyl)-pyrido[3,2-d]pyrimidin-6-yl]-acrylamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10547930	biolink:SmallMolecule	N-[4-(4-Phenoxy-phenylamino)-quinazolin-6-yl]-acrylamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10662351	biolink:SmallMolecule	N-(4-m-Tolylamino-pyrido[3,4-d]pyrimidin-6-yl)-acrylamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10673774	biolink:SmallMolecule	N-[4-(3-bromo-4-fluoroanilino)-7-(3-morpholin-4-ylpropoxy)quinazolin-6-yl]prop-2-enamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10691590	biolink:SmallMolecule	N-[4-(3-Bromo-4-fluoro-phenylamino)-quinazolin-6-yl]-acrylamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10691652	biolink:SmallMolecule	N-[4-(3-Bromo-4-fluoro-phenylamino)-pyrido[3,4-d]pyrimidin-6-yl]-acrylamide	ERBB2_direct_kp-molecular.json	
PUBCHEM.COMPOUND:10738988	biolink:SmallMolecule	N-[4-(3-Bromo-4-fluoro-phenylamino)-pyrido[3,2-d]pyrimidin-6-yl]-acrylamide	ERBB2_direct_kp-molecular.json	
